,name,genre_name,number_of_episodes,popularity,vote_average,vote_count,overview,creator_names,poster_path
4853,Billy the Kid,"Western, Drama",8,16.813,7.625,64,"An epic romantic adventure series based on the life of famous American outlaw Billy the Kid — from his humble Irish roots, to his early days as a cowboy and gunslinger in the American frontier, to his pivotal role in the Lincoln County War and beyond.",['Michael Hirst'],/3JyuHbdVIhBoArxEtifLrzodUEM.jpg
4854,City of Angels | City of Death,"Crime, Documentary",6,2.768,6.429,7,"Documents the chilling 1970s-80s era of rampant serial killers in Los Angeles with first-hand accounts from the detectives who tracked down the Freeway Killer, Hillside Strangler and Sunset Strip Killer, bringing justice for the victims and survivors",,/4EDSx71ys4YnzMq1DBXjyQIbOkd.jpg
4855,Theodosia,"Action & Adventure, Sci-Fi & Fantasy, Mystery",26,4.747,7.727,11,"In 1906 London, 14-year-old Theodosia “Theo” Throckmorton gathers an eclectic team that includes her younger brother Henry, along with friends Will and Egyptian Princess, Safiya, to fight a powerful secret society bent on destroying the world with ancient Egyptian dark magic.",,/2tH2zDZIaKSRsSef55DGueNh4mI.jpg
4856,A Very British Scandal,Drama,3,5.727,7.54,25,The true story of a duchess publicly shamed in a high society divorce that gripped the nation.,['Sarah Phelps'],/rCa2Cdb3JNx2jka2LQJeaSTCIeH.jpg
4857,The Consultant,"Comedy, Drama",8,16.656,7.167,81,"After an unspeakable tragedy at CompWare, a games studio based in downtown Los Angeles, a mysterious consultant, Regus Patoff, blows into town and takes charge.",['Tony Basgallop'],/dbmnbPdDIgH9RR1Cs0SkG4DaYgF.jpg
4858,The Murders at Starved Rock,"Crime, Documentary",3,3.62,6.962,26,"This documentary series explores the 1960 brutal murders of three women in Starved Rock State Park in LaSalle County, Illinois, and the decades of questions and doubts that have haunted the son of the prosecutor in the case, as the man found guilty seeks to clear his name after sixty years in prison.",['David Raccuglia'],/xjCTvdaI9U6isyHUZybGtzLgE0Y.jpg
4859,Coming Out Colton,Reality,6,2.015,6.75,8,"Former NFL player and ""Bachelor"" star Colton Underwood embarks on a journey to embrace his new life as an out member of the LGBTQ community.",,/uUO2TS0Yf9oy4dzWctBws5TW4fL.jpg
4860,Run The Burbs,Comedy,25,4.183,7.1,7,"Run the Burbs follows the Phams, a young, bold Vietnamese-South Asian-Canadian family taking a different approach to living life to the fullest, while changing the way we think about contemporary family values and life in the burbs.","['Andrew Phung', 'Scott Townend']",/jvQWJ2oYGdxoTOCBVn1X3nAb8Nu.jpg
4861,Hope Street,"Drama, Crime",20,3.076,6.8,5,The arrival of DC Leila Hussain sets tongues wagging – what brings this big city girl to a sleepy Northern Irish seaside town? Warm-hearted detective drama in a stunning setting.,"['Paul Marquess', 'Susanne Farrell']",/dC8CpDwcj9l9tD8XwQoWHK5cNn.jpg
4862,Rachel Khoo's Kitchen Notebook: Melbourne,"Reality, Documentary",8,0.6,7.2,5,"Join Rachel Khoo as she immerses herself in Melbourne’s rich, multicultural food scene. In this new Kitchen Notebook series, Rachel gathers cooking inspiration and discovers quirky culinary treasures.",,/xKTDDGzkeWxNLnlUlcG0Ecil4UA.jpg
4863,Selling The OC,Reality,8,4.63,6.1,9,"A fresh set of realtors square off, competing to establish themselves at The Oppenheim Group’s second office on the Orange County coast. Will the pressure prove too much for these agents to handle?",,/hrSkIetbFpHlHrYamw7MtL1nPz2.jpg
4864,You Don't Know Me,Drama,4,3.516,6.3,29,"Accused of murder, Hero shouldn't stand a chance in court. He swears he's innocent. But in the end, all that matters is this: do you believe him?",,/xgaMPHjbv1RqeVocoiC1y3quyeM.jpg
4865,That's My Jam,Reality,17,23.19,7.375,8,"This star-studded, music-comedy game show from Executive Producer Jimmy Fallon is infused with his one-of-a-kind comedic style and feel-good energy, featuring a carousel of his classic and brand new music-based games, like ""Wheel of Musical Impressions,"" ""Musical Genre Challenge"" and ""History of Rap."" Each week, a new group of celebrities go head-to-head and mic-to-mic in a variety of music- and dance-inspired games, sketches and challenges that promise unforgettable -- and hilarious -- performances.",['Jimmy Fallon'],/x9gySjJuo5jsPZuvsXOK1BTItrk.jpg
4866,In From the Cold,"Drama, Sci-Fi & Fantasy, Action & Adventure",8,14.411,6.961,76,"Exposed as an ex-Russian spy, an American single mom must juggle family life and unique shape-shifting skills in a battle against an insidious enemy.",['Adam Glass'],/n1eL0iQiLx141MSVbDoY4B24Oqo.jpg
4867,Grand Crew,Comedy,20,5.018,5.5,8,"A group of young L.A. professionals navigate the ups and downs of life and love. When they’re ready to unpack it all, they meet at their favorite local bar for a “wine down.”",,/qoMva4fTAPsYZOUL3NVSzDfX3vn.jpg
4868,Drag Race France,"Talk, Comedy, Reality",8,1.301,7.8,6,"France is looking for her Drag Queen Superstar!

On the French version of RuPaul's Drag Race, each week, the queens are subjected to rigorous and funny mini and maxi challenges, and exceptional fashion shows that highlight their art. To keep their place in the adventure, the two queens at the bottom of the rankings will have to perform a legendary lip-sync to save their lives!",['RuPaul'],/3IKpJY81AcpcDQONzD9RO6zJ1ug.jpg
4869,Love in 40 Days,"Comedy, Sci-Fi & Fantasy",110,3.147,4.9,6,"After getting involved in a fatal car crash, a competitive career woman arrives in an uncanny purgatory. While settling her unfinished businesses as a lingering spirit, she meets and finds her soulmate in a rebellious scion with a third eye.",,/x7qeqSNB5wN93U2EvOniELSXuNz.jpg
4870,The Girl Before,"Drama, Mystery",4,4.443,6.691,34,"A traumatized woman falls in love with an extraordinary minimalist house, which remains under the spell of the architect who originally designed it, but everything may not be as it seems.",,/11FAvHhce6xrMqgumguAVZWmvSI.jpg
4871,Tiger King: The Doc Antle Story,"Documentary, Crime",3,3.14,6.111,27,"A lifelong showman, Bhagavan “Doc” Antle has built his various careers on theatrics, attracting a slew of admirers along the way. But beneath the eccentric, animal-loving facade lies a predator far more dangerous than his beloved big cats and a man shadier than any of his Tiger King counterparts.",,/sie5il1GPnCuSRyEHJkKQvr8ffT.jpg
4872,The Boys Presents: Diabolical,"Animation, Action & Adventure",8,25.347,7.201,214,"From some of the most unhinged and maniacal minds in Hollywood today comes this animated anthology series, a collection of irreverent and emotionally shocking animated short films. Each episode plunges elbow-deep into unseen crevices of The Boys Universe.",,/kZKfZWwFOAicgoKS2IO7oM1GuHZ.jpg
4873,Queen Stars Brazil,Reality,8,2.587,6.0,5,Pabllo Vittar and Luísa Sonza lead the fight for the crown of pop music in a competition where lip-sync queens unleash their own voices to win a place in Brazil's most talented drag queen musical trio.,,/pFnxtbrxSBehdU6Dj7CfQoZpQe8.jpg
4874,Johnny vs Amber,Documentary,2,3.362,4.25,8,The tumultuous marriage and subsequent legal battle between Johnny Depp and Amber Heard will have both sides of the story told in Johnny vs Amber.,,/j3iMp21pdMVkDM1eQeu8jF95Lx3.jpg
4875,Toast of Tinseltown,Comedy,6,4.37,7.5,11,Tortured thespian Steven Toast relocates to the ultimate actor's playground - Hollywood. Surely this time he will get the adulation he so richly deserves.,,/x8FgWAp2nBaAtp8Q9zkuHspvonT.jpg
4876,Screw,Drama,6,1.307,7.375,8,Rob Williams' darkly comic crime drama portrays prison as you've never seen it before: through the embattled and inspiring characters who work there.,['Rob Williams'],/wHGYdkcV8gLBi1TLVylyR4VUho.jpg
4877,Power On: The Story of Xbox,Documentary,6,1.134,9.0,5,"Xbox almost didn't happen. Find out why in this behind-the-scenes, six-part series that takes you back to the scrappy beginnings of Microsoft's video game console. It's the untold story of the people behind the box, glitches and all.",,/8NNsNdw6Cuhjg1nAAfRUKhjqEKi.jpg
4878,Teen Mom: Family Reunion,Reality,18,2.671,8.4,5,"What mom doesn't need a break? That's why cast members from across the Teen Mom franchise are coming together for a tropical vacation. But it's not all rest and relaxation, as the moms dive deep into relationship, friendship and parenting issues.",['Lauren Dolgen'],/sLXc3kVmtyckCjAS6Gy91Fw076Q.jpg
4879,The Puppet Master: Hunting the Ultimate Conman,"Documentary, Crime",3,5.823,6.63,92,"In this harrowing docuseries, a cruel conman masquerading as a British spy manipulates and steals from his victims, leaving ruined families in his wake.",,/aK6s9YZbZ5UI2zqqRN2DrYp4B1z.jpg
4880,Crime Scene: The Times Square Killer,"Documentary, Crime, Mystery",3,4.824,6.963,67,"In 1970s NYC, the “Torso Killer” preys on women to fulfill his grotesque fantasies while eluding police. A docuseries dive into crime’s darkest places.",['Joe Berlinger'],/biCPeLB51ZhRb9OhprVc02G2Xz3.jpg
4881,I Literally Just Told You,,14,2.052,6.6,7,"Jimmy Carr hosts the game show where paying attention pays off, as players answer questions that have just been written, about things that have just happened during the show, in a bid to win £25,000.",['Richard Bacon'],/k0JGWnoUis90Q5vYHZtpQaAi8zn.jpg
4882,Getting Curious with Jonathan Van Ness,"Talk, Comedy",6,2.013,6.0,5,Jonathan Van Ness lets curiosity lead the way while roving from snacks to wigs in this podcast spinoff chock-full of experts and special guests.,,/dNmbo0QWsA8rLPllfo6sgY2jjEw.jpg
4883,The Villains of Valley View,"Comedy, Family",39,16.066,7.042,24,A family of raucous supervillains who recently ran afoul of the League of Villains and now must somehow beat a path to normalcy in a small Texas town.,"['Chris Peterson', 'Bryan Moore']",/zebIXFEqmWnzky8oUTnYmB3wqx6.jpg
4884,We Need to Talk About Cosby,Documentary,4,2.129,7.2,10,"During his nearly 50 years in show business, Bill Cosby became one of the most recognizable Black celebrities in America. With a career that included an astronomical rise on television in the mid-1960s; work in children’s programming and education; legendary stand-up performances and albums; and an epoch-defining hit sitcom, The Cosby Show, Cosby was a model of Black excellence for millions of Americans. But now, thanks to the brave and painful testimonies of dozens of women, we know there was a sinister reality to the man once extolled as “America’s Dad.”",['W. Kamau Bell'],/jaQq8yngDA1pnMRcFcxfq6Hhrop.jpg
4885,Celebrity Big Brother Portugal,Reality,10,0.937,3.5,11,Big Brother Famosos is the celebrity version of Big Brother Portugal.,,/ynFd1Xmr2r05qPqalNZnh2uxuJ0.jpg
4886,All American: Homecoming,Drama,28,15.426,8.27,37,"Follow the journeys of Simone Hicks, a tennis hopeful from Beverly Hills, and elite baseball player Damon Sims from Chicago, as they navigate life at the prestigious HBCU Bringston University.",['Nkechi Okoro'],/6kehchi6qhbVmBQq6AJjWuLmOOA.jpg
4887,WWII in Color: Road to Victory,"Documentary, War & Politics",10,5.668,7.4,17,Gripping historical footage and expert commentary give detailed insights into the leading figures and decisive turning points of World War II.,,/8MDHTmGVNmIspi4Xs6b7YO5wTev.jpg
4888,The Kings of Napa,Drama,8,1.4,5.2,6,"The wine business has brought the King's family success and acclaim, but following the patriarch's sudden exit from the company, his three children must grapple for the reigns to the kingdom, to their own power, wealth and legacy.",,/cUb5hpR3qAFekLN3oQpougs6bvk.jpg
4889,Children Ruin Everything,Comedy,24,2.913,4.7,6,"Astrid and James, who struggle to find a balance between being mom and dad to two kids and being who they were before offspring.",['Kurt Smeaton'],/lnIjUTsNyO6SEnYkc34qzaNsDyQ.jpg
4890,Ant & Dec's Limitless Win,Reality,11,1.721,7.778,9,"Every question is an opportunity to climb the endless money ladder and reach the big money, but only a correct answer banks the cash. Push their luck too far and they’ll crash out of the game and lose it all.","['Victoria Ashbourne', 'Stuart Shawcross', 'Roger Johnson']",/hwTJS7v6Dz0KavdtV4W7xj7v2HQ.jpg
4891,Euronews Hoy,News,587,97.05,4.0,8,,,/ujeIjo0GTRbFJcgjhgFZda78A90.jpg
4892,Rules of the Game,Mystery,4,3.843,6.4,9,"Sam is a hard-headed manager at a family-run business in the North West. However, when Sam arrives at work one day to find a dead body in the office reception she is forced to reckon with not only murky behaviour in the present, but murderous secrets from the past as well.",,/6Pm7oywq9aUVKGS6NYutuyPJeGN.jpg
4893,This Is Going to Hurt,"Comedy, Drama",7,7.681,7.919,62,The unvarnished truth of life as a doctor working in obstetrics and gynaecology.,['Dr Adam Kay'],/9evrzTMmsMIKXVAAzWtzzn5gdyj.jpg
4894,The Kardashians,Reality,28,35.624,8.665,1890,"The family you know and love is here with a brand new series, giving an all-access pass into their lives. Kris, Kourtney, Kim, Khloé, Kendall, and Kylie bring the cameras back to reveal the truth behind the headlines. From the intense pressures of running billion-dollar businesses to the hilarious joys of playtime and school drop-offs, this series brings viewers into the fold with a rivetingly honest story of love & life in the spotlight.",,/6mGCYwh5OMpLgTqc9Sh2RnPB7Ic.jpg
4895,Angry Birds: Summer Madness,"Animation, Comedy, Kids, Action & Adventure",36,12.592,7.3,88,"Teen birds Red, Chuck, Bomb and Stella are crashing through Camp Splinterwood with their fellow feathered campers for a summer of high-flying hijinks!","['Scott Sonneborn', 'Rob Doherty']",/6ko4jfA5BrcRADDaAfMagZ4ZGpG.jpg
4896,Son of a Critch,Comedy,26,3.488,5.429,7,"A coming-of-age story set in St. John’s, Newfoundland of 11 year-old Mark, much older on the inside than his 11 years, who uses comedy to win friends and connect with people in his limited world.","['Mark Critch', 'Tim McAuliffe']",/ufw98SF9HdcZevXbEOTpHOmJF6Y.jpg
